ssp_grouper_id,category,parent_title_name,disease_area,pos,shoppability,medicare_apc,parent_description
AE02Z,I&S,Outpatient clinic visit,General Medicine,OP,3.96,5012,"Outpatient clinic visit is an appointment with your doctor in a medical office or clinic setting. These visits allow your doctor to assess your health, evaluate symptoms, perform exams, and discuss your medical care. You'll meet with your doctor, who will listen to your concerns and perform appropriate evaluations. Your doctor may order tests, perform physical exams, or discuss treatment options with you. Clinic visits may focus on managing chronic conditions, addressing acute problems, or preventive health maintenance. The complexity of your visit depends on the nature of your health concerns and how much evaluation and discussion is needed. Your doctor will explain findings and discuss next steps in your care during your visit. The cost of this procedure may vary depending on the complexity involved. Categories include low complexity (new or established), moderate complexity (new or established), and high complexity (new or established)."
BE010,I&S,Outpatient psychiatric evaluation,Behavioral Health,OP,4.00,5823,"An outpatient psychiatric evaluation is a comprehensive assessment where a psychiatrist or mental health professional evaluates your mental and emotional health. During this visit, your doctor will ask about your medical history, current symptoms, family history of mental health conditions, and any medications you're taking. They may discuss your mood, sleep patterns, stress levels, and how your symptoms affect daily life. This evaluation helps your doctor diagnose mental health conditions and develop a treatment plan tailored to your needs, which might include therapy, medication, or both."
BT010,Encounter,Electroconvulsive therapy (ECT),Behavioral Health,OP,3.50,5724,"Electroconvulsive therapy (ECT) is a medical treatment where your doctor uses controlled electrical currents to safely trigger a brief seizure under anesthesia. This procedure is typically used when severe depression, bipolar disorder, or catatonia hasn't responded well to medications. The electrical impulses help reset brain chemistry and can provide rapid relief from life-threatening symptoms. You'll be asleep during the procedure and closely monitored by an anesthesiologist. ECT can be very effective, especially when you need quick symptom improvement."
BT03Z,I&S,Outpatient psychotherapy,Behavioral Health,OP,4.00,5822,"Outpatient psychotherapy is a treatment where you work with a trained mental health professional in regular office visits to address emotional, behavioral, or mental health challenges. Your therapist uses various evidence-based techniques to help you understand your thoughts and feelings, develop coping strategies, and make positive changes in your life. Psychotherapy can help with depression, anxiety, trauma, relationship issues, and many other concerns. This type of procedure can be performed various ways, including group therapy and 1:1 therapy, and the cost may vary depending on the specific approach or service provided."
CE010,I&S,Cardiac electrophysiology study,Cardiac & Vascular,OP,3.47,5213,"An electrophysiology study maps your heart's electrical system to identify the cause of irregular heartbeats. During this outpatient procedure, your doctor threads thin catheters through blood vessels to your heart while monitoring electrical signals on screens. The test typically lasts 1-3 hours and you're sedated for comfort. This detailed electrical map guides treatment decisions, whether medication adjustments, pacemaker placement, or ablation therapy. Most people go home the same day with minimal restrictions."
CP010,Encounter,Cardiac biopsy,Cardiac & Vascular,OP,2.50,5183,"A cardiac biopsy is a procedure where your doctor takes a small sample of heart tissue to examine under a microscope. This helps diagnose conditions like myocarditis (heart inflammation), cardiomyopathy (heart muscle disease), or transplant rejection. Your doctor uses a special catheter with a tiny biopsy tool guided through your blood vessels into your heart. The procedure is performed in a cardiac catheterization lab while you're awake but sedated. Your doctor can quickly analyze the tissue to determine what's affecting your heart and develop an appropriate treatment plan based on the findings."
CP020,Encounter,Cardiac catheterization,Cardiac & Vascular,OP,4.00,5191,"Cardiac catheterization is a diagnostic procedure where your doctor threads a thin, flexible tube called a catheter through your blood vessels to examine your heart and coronary arteries. This test helps diagnose heart disease, assess how well your heart is pumping, measure blood pressure in your heart chambers, and take tissue samples if needed. Your doctor can see blockages, valve problems, and other abnormalities on X-ray imaging. The procedure is performed while you're awake but sedated, and you'll generally feel minimal discomfort. This detailed information helps your doctor plan the best treatment for your condition, whether that's medication, a stent, bypass surgery, or another intervention."
CP03Z,Encounter,Outpatient defibrillator (ICD) replacement,Cardiac & Vascular,OP,4.00,5232,"An implantable cardioverter-defibrillator (ICD) replacement involves removing your old device and implanting a new one under your skin. An ICD is a small device that monitors your heart rhythm and delivers an electric shock if dangerous irregular heartbeats develop, potentially saving your life. Your doctor performs this outpatient procedure in a cardiac electrophysiology lab while you're under local anesthesia. The new device is programmed to your specific needs. This type of procedure can involve removal and revision of the device, and the cost may vary depending on the specific service performed."
CP040,Encounter,Leadless pacemaker insertion,Cardiac & Vascular,OP,2.50,5224,"A leadless pacemaker insertion is an outpatient procedure where your doctor implants a tiny, self-contained pacemaker directly into your heart. Unlike traditional pacemakers, this device has no external wires (leads), which reduces risks of complications and infections. Your cardiologist uses a catheter to guide the device through your blood vessels into the right ventricle of your heart, where it stays in place. The device monitors your heart rhythm and delivers electrical impulses to keep your heart beating at a healthy rate. This less invasive approach allows you to heal faster."
CP05Z,Encounter,Pacemaker insertion,Cardiac & Vascular,OP,4.00,5223,"A pacemaker insertion is a procedure where your doctor implants a small device under your skin to regulate your heartbeat. Your doctor places it in a pouch under your collarbone and connects wires through blood vessels to your heart. The pacemaker monitors your heart's natural rhythm and delivers electrical impulses when your heart is beating too slowly (bradycardia). This life-saving device helps restore a steady, healthy heart rhythm so blood can circulate properly. The procedure is minimally invasive and performed in a cardiac electrophysiology lab. This type of procedure can be performed various ways, including temporary pacemaker and permanent pacemaker, and the cost may vary depending on the specific approach or service provided."
