ssp_grouper_id,sub_category_id,parent_title_name,sub_category_name,parent_description,disease_area,category,medicare_apc,anchor_codes
AE02Z,AE021,Outpatient clinic visit,Low complexity (new or established),"Outpatient clinic visit is an appointment with your doctor in a medical office or clinic setting. These visits allow your doctor to assess your health, evaluate symptoms, perform exams, and discuss your medical care. You'll meet with your doctor, who will listen to your concerns and perform appropriate evaluations. Your doctor may order tests, perform physical exams, or discuss treatment options with you. Clinic visits may focus on managing chronic conditions, addressing acute problems, or preventive health maintenance. The complexity of your visit depends on the nature of your health concerns and how much evaluation and discussion is needed. Your doctor will explain findings and discuss next steps in your care during your visit. The cost of this procedure may vary depending on the complexity involved. Categories include low complexity (new or established), moderate complexity (new or established), and high complexity (new or established).",General Medicine,I&S,5012,"99202, 99203, 99211, 99212, 99213, 99243, G0463"
AE02Z,AE021,Outpatient clinic visit,Low complexity (new or established),"Outpatient clinic visit is an appointment with your doctor in a medical office or clinic setting. These visits allow your doctor to assess your health, evaluate symptoms, perform exams, and discuss your medical care. You'll meet with your doctor, who will listen to your concerns and perform appropriate evaluations. Your doctor may order tests, perform physical exams, or discuss treatment options with you. Clinic visits may focus on managing chronic conditions, addressing acute problems, or preventive health maintenance. The complexity of your visit depends on the nature of your health concerns and how much evaluation and discussion is needed. Your doctor will explain findings and discuss next steps in your care during your visit. The cost of this procedure may vary depending on the complexity involved. Categories include low complexity (new or established), moderate complexity (new or established), and high complexity (new or established).",General Medicine,I&S,5012,"99202, 99203, 99211, 99212, 99213, 99243, G0463"
AE02Z,AE022,Outpatient clinic visit,Moderate complexity (new or established),"Outpatient clinic visit is an appointment with your doctor in a medical office or clinic setting. These visits allow your doctor to assess your health, evaluate symptoms, perform exams, and discuss your medical care. You'll meet with your doctor, who will listen to your concerns and perform appropriate evaluations. Your doctor may order tests, perform physical exams, or discuss treatment options with you. Clinic visits may focus on managing chronic conditions, addressing acute problems, or preventive health maintenance. The complexity of your visit depends on the nature of your health concerns and how much evaluation and discussion is needed. Your doctor will explain findings and discuss next steps in your care during your visit. The cost of this procedure may vary depending on the complexity involved. Categories include low complexity (new or established), moderate complexity (new or established), and high complexity (new or established).",General Medicine,I&S,5012,"99204, 99214, 99244"
AE02Z,AE022,Outpatient clinic visit,Moderate complexity (new or established),"Outpatient clinic visit is an appointment with your doctor in a medical office or clinic setting. These visits allow your doctor to assess your health, evaluate symptoms, perform exams, and discuss your medical care. You'll meet with your doctor, who will listen to your concerns and perform appropriate evaluations. Your doctor may order tests, perform physical exams, or discuss treatment options with you. Clinic visits may focus on managing chronic conditions, addressing acute problems, or preventive health maintenance. The complexity of your visit depends on the nature of your health concerns and how much evaluation and discussion is needed. Your doctor will explain findings and discuss next steps in your care during your visit. The cost of this procedure may vary depending on the complexity involved. Categories include low complexity (new or established), moderate complexity (new or established), and high complexity (new or established).",General Medicine,I&S,5012,"99204, 99214, 99244"
AE02Z,AE023,Outpatient clinic visit,High complexity (new or established),"Outpatient clinic visit is an appointment with your doctor in a medical office or clinic setting. These visits allow your doctor to assess your health, evaluate symptoms, perform exams, and discuss your medical care. You'll meet with your doctor, who will listen to your concerns and perform appropriate evaluations. Your doctor may order tests, perform physical exams, or discuss treatment options with you. Clinic visits may focus on managing chronic conditions, addressing acute problems, or preventive health maintenance. The complexity of your visit depends on the nature of your health concerns and how much evaluation and discussion is needed. Your doctor will explain findings and discuss next steps in your care during your visit. The cost of this procedure may vary depending on the complexity involved. Categories include low complexity (new or established), moderate complexity (new or established), and high complexity (new or established).",General Medicine,I&S,5012,"99205, 99215"
AE02Z,AE023,Outpatient clinic visit,High complexity (new or established),"Outpatient clinic visit is an appointment with your doctor in a medical office or clinic setting. These visits allow your doctor to assess your health, evaluate symptoms, perform exams, and discuss your medical care. You'll meet with your doctor, who will listen to your concerns and perform appropriate evaluations. Your doctor may order tests, perform physical exams, or discuss treatment options with you. Clinic visits may focus on managing chronic conditions, addressing acute problems, or preventive health maintenance. The complexity of your visit depends on the nature of your health concerns and how much evaluation and discussion is needed. Your doctor will explain findings and discuss next steps in your care during your visit. The cost of this procedure may vary depending on the complexity involved. Categories include low complexity (new or established), moderate complexity (new or established), and high complexity (new or established).",General Medicine,I&S,5012,"99205, 99215"
BE010,BE010,Outpatient psychiatric evaluation,-,"An outpatient psychiatric evaluation is a comprehensive assessment where a psychiatrist or mental health professional evaluates your mental and emotional health. During this visit, your doctor will ask about your medical history, current symptoms, family history of mental health conditions, and any medications you're taking. They may discuss your mood, sleep patterns, stress levels, and how your symptoms affect daily life. This evaluation helps your doctor diagnose mental health conditions and develop a treatment plan tailored to your needs, which might include therapy, medication, or both.",Behavioral Health,I&S,5823,"90791, 90792"
BE010,BE010,Outpatient psychiatric evaluation,-,"An outpatient psychiatric evaluation is a comprehensive assessment where a psychiatrist or mental health professional evaluates your mental and emotional health. During this visit, your doctor will ask about your medical history, current symptoms, family history of mental health conditions, and any medications you're taking. They may discuss your mood, sleep patterns, stress levels, and how your symptoms affect daily life. This evaluation helps your doctor diagnose mental health conditions and develop a treatment plan tailored to your needs, which might include therapy, medication, or both.",Behavioral Health,I&S,5823,"90791, 90792"
BT010,BT010,Electroconvulsive therapy (ECT),-,"Electroconvulsive therapy (ECT) is a medical treatment where your doctor uses controlled electrical currents to safely trigger a brief seizure under anesthesia. This procedure is typically used when severe depression, bipolar disorder, or catatonia hasn't responded well to medications. The electrical impulses help reset brain chemistry and can provide rapid relief from life-threatening symptoms. You'll be asleep during the procedure and closely monitored by an anesthesiologist. ECT can be very effective, especially when you need quick symptom improvement.",Behavioral Health,Encounter,5724,90870
BT010,BT010,Electroconvulsive therapy (ECT),-,"Electroconvulsive therapy (ECT) is a medical treatment where your doctor uses controlled electrical currents to safely trigger a brief seizure under anesthesia. This procedure is typically used when severe depression, bipolar disorder, or catatonia hasn't responded well to medications. The electrical impulses help reset brain chemistry and can provide rapid relief from life-threatening symptoms. You'll be asleep during the procedure and closely monitored by an anesthesiologist. ECT can be very effective, especially when you need quick symptom improvement.",Behavioral Health,Encounter,5724,90870
BT03Z,BT031,Outpatient psychotherapy,Group therapy,"Outpatient psychotherapy is a treatment where you work with a trained mental health professional in regular office visits to address emotional, behavioral, or mental health challenges. Your therapist uses various evidence-based techniques to help you understand your thoughts and feelings, develop coping strategies, and make positive changes in your life. Psychotherapy can help with depression, anxiety, trauma, relationship issues, and many other concerns. This type of procedure can be performed various ways, including group therapy and 1:1 therapy, and the cost may vary depending on the specific approach or service provided.",Behavioral Health,I&S,5822,"90833, 90836, 90838, 90839, 90840, 90853"
BT03Z,BT031,Outpatient psychotherapy,Group therapy,"Outpatient psychotherapy is a treatment where you work with a trained mental health professional in regular office visits to address emotional, behavioral, or mental health challenges. Your therapist uses various evidence-based techniques to help you understand your thoughts and feelings, develop coping strategies, and make positive changes in your life. Psychotherapy can help with depression, anxiety, trauma, relationship issues, and many other concerns. This type of procedure can be performed various ways, including group therapy and 1:1 therapy, and the cost may vary depending on the specific approach or service provided.",Behavioral Health,I&S,5822,"90833, 90836, 90838, 90839, 90840, 90853"
BT03Z,BT032,Outpatient psychotherapy,1:1 therapy,"Outpatient psychotherapy is a treatment where you work with a trained mental health professional in regular office visits to address emotional, behavioral, or mental health challenges. Your therapist uses various evidence-based techniques to help you understand your thoughts and feelings, develop coping strategies, and make positive changes in your life. Psychotherapy can help with depression, anxiety, trauma, relationship issues, and many other concerns. This type of procedure can be performed various ways, including group therapy and 1:1 therapy, and the cost may vary depending on the specific approach or service provided.",Behavioral Health,I&S,5822,"90832, 90834, 90837, 90846, 90847"
BT03Z,BT032,Outpatient psychotherapy,1:1 therapy,"Outpatient psychotherapy is a treatment where you work with a trained mental health professional in regular office visits to address emotional, behavioral, or mental health challenges. Your therapist uses various evidence-based techniques to help you understand your thoughts and feelings, develop coping strategies, and make positive changes in your life. Psychotherapy can help with depression, anxiety, trauma, relationship issues, and many other concerns. This type of procedure can be performed various ways, including group therapy and 1:1 therapy, and the cost may vary depending on the specific approach or service provided.",Behavioral Health,I&S,5822,"90832, 90834, 90837, 90846, 90847"
CE010,CE011,Cardiac electrophysiology study,"Simple, without catheter","An electrophysiology study maps your heart's electrical system to identify the cause of irregular heartbeats. During this outpatient procedure, your doctor threads thin catheters through blood vessels to your heart while monitoring electrical signals on screens. The test typically lasts 1-3 hours and you're sedated for comfort. This detailed electrical map guides treatment decisions, whether medication adjustments, pacemaker placement, or ablation therapy. Most people go home the same day with minimal restrictions.",Cardiac & Vascular,I&S,5213,"93619, 93620"
CE010,CE011,Cardiac electrophysiology study,"Simple, without catheter","An electrophysiology study maps your heart's electrical system to identify the cause of irregular heartbeats. During this outpatient procedure, your doctor threads thin catheters through blood vessels to your heart while monitoring electrical signals on screens. The test typically lasts 1-3 hours and you're sedated for comfort. This detailed electrical map guides treatment decisions, whether medication adjustments, pacemaker placement, or ablation therapy. Most people go home the same day with minimal restrictions.",Cardiac & Vascular,I&S,5213,"93619, 93620"
CE010,CE012,Cardiac electrophysiology study,With catheter insertion,"An electrophysiology study maps your heart's electrical system to identify the cause of irregular heartbeats. During this outpatient procedure, your doctor threads thin catheters through blood vessels to your heart while monitoring electrical signals on screens. The test typically lasts 1-3 hours and you're sedated for comfort. This detailed electrical map guides treatment decisions, whether medication adjustments, pacemaker placement, or ablation therapy. Most people go home the same day with minimal restrictions.",Cardiac & Vascular,I&S,5213,"93653, 93654, 93656"
CE010,CE012,Cardiac electrophysiology study,With catheter insertion,"An electrophysiology study maps your heart's electrical system to identify the cause of irregular heartbeats. During this outpatient procedure, your doctor threads thin catheters through blood vessels to your heart while monitoring electrical signals on screens. The test typically lasts 1-3 hours and you're sedated for comfort. This detailed electrical map guides treatment decisions, whether medication adjustments, pacemaker placement, or ablation therapy. Most people go home the same day with minimal restrictions.",Cardiac & Vascular,I&S,5213,"93653, 93654, 93656"
CP010,CP010,Cardiac biopsy,-,"A cardiac biopsy is a procedure where your doctor takes a small sample of heart tissue to examine under a microscope. This helps diagnose conditions like myocarditis (heart inflammation), cardiomyopathy (heart muscle disease), or transplant rejection. Your doctor uses a special catheter with a tiny biopsy tool guided through your blood vessels into your heart. The procedure is performed in a cardiac catheterization lab while you're awake but sedated. Your doctor can quickly analyze the tissue to determine what's affecting your heart and develop an appropriate treatment plan based on the findings.",Cardiac & Vascular,Encounter,5183,93505
CP010,CP010,Cardiac biopsy,-,"A cardiac biopsy is a procedure where your doctor takes a small sample of heart tissue to examine under a microscope. This helps diagnose conditions like myocarditis (heart inflammation), cardiomyopathy (heart muscle disease), or transplant rejection. Your doctor uses a special catheter with a tiny biopsy tool guided through your blood vessels into your heart. The procedure is performed in a cardiac catheterization lab while you're awake but sedated. Your doctor can quickly analyze the tissue to determine what's affecting your heart and develop an appropriate treatment plan based on the findings.",Cardiac & Vascular,Encounter,5183,93505
CP020,CP020,Cardiac catheterization,-,"Cardiac catheterization is a diagnostic procedure where your doctor threads a thin, flexible tube called a catheter through your blood vessels to examine your heart and coronary arteries. This test helps diagnose heart disease, assess how well your heart is pumping, measure blood pressure in your heart chambers, and take tissue samples if needed. Your doctor can see blockages, valve problems, and other abnormalities on X-ray imaging. The procedure is performed while you're awake but sedated, and you'll generally feel minimal discomfort. This detailed information helps your doctor plan the best treatment for your condition, whether that's medication, a stent, bypass surgery, or another intervention.",Cardiac & Vascular,Encounter,5191,"93451, 93453, 93454, 93456, 93458, 93459, 93460, 93461, 93597"
